Strain,Cultivator,Split,DT1,DT2,DT3,DT4,DT5,QR,Ailments,BestFor,Effects,Smell,Taste,Lineage
MRS. MADDS BUBBA,Leafology,Hybrid,Limonene,β-Myrcene,β-Caryophyllene,,,,"Stress, Mild Pain, Depression, Social Gatherings, Creativity",,"Euphoric, Relaxing, Balanced, Creative","Citrus Burst, Sweet Grape, Herbal, Floral",,
Northern Lights,Carpenter Farms,,Limonene,β-Myrcene,β-Caryophyllene,Phellandrene,α-Terpinene,https://drive.google.com/file/d/1kYgOF0fRe_wKyYM173rfbx7tTasbfi_J/view,,,,,,
Northern Lights,Carpenter Farms,,Limonene,β-Myrcene,β-Pinene,Guaiol,Phellandrene,https://drive.google.com/file/d/1kYgOF0fRe_wKyYM173rfbx7tTasbfi_J/view?usp=drive_link,,,,,,
Nuggz r1,Bold,Sativa Hybrid,Terpinolene,β-Myrcene,cis-β-Ocimene,,,,,,,,,
Nutterfluffer,,50/50 H,β-Myrcene,Linalool,Limonene,,,," Lack of appetite, Mild pain, Insomnia","Dive into the whimsical world of Nutterfluffer, a magical strain born from the enchanting blend of Dream Factory and Cereal Milk. Let the dreamy effects of this hybrid transport you to a land where euphoria and relaxation dance in perfect harmony. Nutterfluffer tantalizes your taste buds with a delightful fusion of nutty undertones and sweet cereal milk, creating an experience that's both comforting and uplifting.","Dreamy and Relaxing, Uplifting sensations, Stress relief, Mood enhancement, Creative inspiration","Nutty, Sweet, Creamy undertones","Nutty, Cereal Milk flavors",Dream Factory x Cereal Milk
OCF,Bold,,β-Myrcene,β-Caryophyllene,α-Humulene,,,,,,,,,
OCM (Osage Creek Monster),Osage Creek,70-30,Limonene,β-Caryophyllene,β-Myrcene,,,,"Evening Relaxation, Mild Social Gatherings, Creative Activities","This strain offers a rich and earthy base layered with hints of sweet citrus and a herbal spice. When consumed, it reveals a smooth flavor that balances creamy sweetness with subtle peppery warmth, leaving a delightful and lingering finish.","Balanced, Relaxed, Focused","Citrus, Spice, Earthy",,
OCTANE MINTZ,Leafology,Indica,β-Caryophyllene,α-Humulene,β-Myrcene,,,,"Anxiety, Pain, Insomnia, Appetite Stimulant",,"Euphoric, Relaxing, Sedative, Tingly","Diesel, Gasoline, Sweet Vanilla, Earthy",,
OG Kush,Natural State Medicinals,,β-Myrcene,β-Caryophyllene,Limonene,Linalool,α-Humulene,https://bit.ly/4apCXYe,,,,,,
OG Kush,,55/45 I,Pinene,,,,,,Pain relief; Relaxation; Social Anxiety relief; Stress relief,"Experience the legendary OG Kush! This strain is like a classic masterpiece that has stood the test of time. Its aroma is a delightful blend of earthy and citrusy notes, captivating your senses from the very first whiff. OG Kush brings a sense of relaxation and euphoria, making it the perfect choice for unwinding and enjoying moments of bliss. So sit back, take a hit, and let OG Kush transport you to a state of pure happiness and contentment.","Relaxation, Euphoria, Happiness, Sleepiness, Uplifted","Earthy, Woody, Pungent, Piney","Earthy, Woody, Citrus",Chemdawg x Hindu Kush
Oreoz Supreme,Osage Creek,50-50,β-Myrcene,β-Caryophyllene,α-Pinene,cis-β-Ocimene,β-Pinene,https://sh-ar.qbench.net/pr/4956fcb3b99e93d,"Social Gatherings, Stress Relief, Creative Activities","Oreoz Supreme offers a captivating sweet and fruity scent, possibly with hints of citrus and earthiness. The fragrance is often described as inviting and pleasant.","Balanced, Happy, Uplifted","Earthy, Spice, Pine",,
Panama Red,Bold,,Pinene,β-Myrcene,β-Caryophyllene,,,,,"This sativa dominant strain quickly picked up attention in the 1960’s for its speedy and intense effects, not to mention a great name which spread through the culture up and down the West Coast. With it’s main terpene being Pinene, you can expect a scent of pine needles, parsley, and rosemary.",,,,
Penthouse Kush,Carpenter Farms,,β-Myrcene,α-Pinene,α-Phellandrene,α-Terpinene,β-Caryophyllene,https://drive.google.com/file/d/1UW41ON60Zfii6CKOKNT-jAjLBHfsz0rL/view,,,,,,
Penthouse Kush,Carpenter Farms,,β-Myrcene,β-Pinene,Limonene,α-Pinene,Sabinene & Trans-Nerolidol,https://drive.google.com/file/d/1wTg64VfvQDQwkefEy3wCfUF76yZQkLT3/view?usp=drive_link,,,,,,
Papa Kush,Osage Creek,20-80,β-Myrcene,β-Caryophyllene,Limonene,Linalool,β-Pinene,https://sh-ar.qbench.net/pr/2ca4c85999c79d8,"Evening Relaxation, Mental Clarity, Therpeutic Use","Papa Kush is notable for its rich and complex flavor profile. It opens with prominent notes of grape and berry, creating a delightful and inviting fruity aroma. This complexity is a sensory pleasure, offering layers of taste for a refined experience.","Focused, Happy, Relaxed","Herbal, Spice, Citrus",,
Peanut Butter Biscuit,,60/40 H,β-Caryophyllene,β-Myrcene,Limonene,,,,"Stress, Anxiety, Mild pain, Lack of appetite, Insomnia","Savor the delightful allure of Peanut Butter Biscuit, a delectable strain crafted from the marriage of Peanut Butter Breath and Dosidos. Indulge in the rich and comforting effects of this hybrid, offering a perfect balance between relaxation and euphoria. The taste buds are treated to a symphony of nutty and sweet flavors, reminiscent of a freshly baked peanut butter biscuit, creating an experience that's both indulgent and soothing.","Relaxing and Euphoric, Balanced hybrid effects, Stress relief, Creative inspiration, Mood enhancement","Nutty, Sweet, Earthy undertones","Peanut Butter, Sweet, Hint of Earthiness",Peanut Butter Breath x Dosidos
Peanut Butter Yahmba,,50/50 H,β-Caryophyllene,β-Myrcene,Limonene,,,,"Assist in alleviating symptoms of stress, anxiety, and mild pain, offering both mental and physical relief.","Discover the exceptional Peanut Butter Yahmba, a hybrid strain that masterfully balances euphoria and relaxation. Its dense, frosty buds exude a captivating nutty and earthy aroma, while the flavor delights with a fusion of roasted peanuts and earthy notes. Ideal for those seeking a versatile experience, Peanut Butter Yahmba offers potential relief from stress and anxiety, making it a must-try for cannabis connoisseurs.",Uplifting moving into a relaxed euphoria,"This strain brings a unique aroma reminiscent of roasted peanuts and earthy undertones, creating a warm and inviting scent profile.","Peanut Butter Yahmba offers a rich blend of nutty flavors intertwined with earthy notes, providing a complex and satisfying taste experience.",Peanut Butter Breath x Yahmba
Permanent Marker,,80/20 I,β-Caryophyllene,Limonene,,,,,"This strain may be beneficial for individuals dealing with chronic fatigue, PMS or cramps, depression or mood swings, and chronic stress or PTSD.","Elevate your senses with Permanent Marker, the 2023 Leafly Strain of the Year. This indica-dominant hybrid captivates with its dense, colorful buds and a unique aroma blending spicy diesel and sour citrus. Experience a harmonious balance of creativity and relaxation, making it an excellent choice for those seeking both mental stimulation and physical ease.","Permanent Marker induces a tingly, chatty, and arousing experience, providing a sense of lifted creativity and happiness, followed by a calming relaxation without heavy sedation. ","This strain presents a complex aroma profile, combining spicy diesel and pungent dank notes with super sour citrus undertones, reminiscent of a freshly opened marker.","A sweet and sour fruity candy taste with a punch of citrusy diesel upon exhale, leaving a lingering, pungent aftertaste. ","Biscotti, x Jealousy x  Sherb Bx"
PERMANENT MARKER,Leafology,Indica,Limonene,β-Caryophyllene,β-Myrcene,,,,"Inflammation, Appetite Stimulation, Stress, Pain",,"Sedative, Focused, Relaxing, Euphoric","Sweet, Fruity, Vanilla, Diesel Funk, Herbal",,
PEZ MINTZ,Leafology,Indica,Limonene,β-Caryophyllene,β-Myrcene,,,,"Appetite Stimulation, Insomnia, Pain, Stress",,"Euphoric, Relaxing, Creative, Sedative","Pineapple, Creamy, Earthy, Herbal, Spicy",,
PILLOW TALK,Leafology,Indica,β-Myrcene,β-Caryophyllene,Cis-β-Ocimene,,,,"Anxiety, Fatigue, Depression, Pain, Stress",,"Creative, Focused, Relaxing, Euphoric","Diesel, Spicy Herbal, Mango, Woody",,
Pinata,Bold,Hybrid,β-Myrcene,Limonene,β-Caryophyllene,,,,,Pinata is a potent hybrid that gives you the best of both the Indica and Sativa worlds. This Swamp Boys creation out of Florida brings together serious resin producers to create a new school hybrid that any “cookies” fan could enjoy. Expect dense pinecone nugs and dank floral tones on the nose.,,,,
Pine Soul,Carpenter Farms,,β-Myrcene,cis-β-Ocimene,β-Caryophyllene,Terpinolene,α & β-Pinene,https://drive.google.com/file/d/1ZSgtYa2jPaIMCEU7lR5gWy_5Q5LjkMNC/view,,,,,,
Pineapple Fruz,River Valley Relief,,β-Caryophyllene,Limonene,Linalool,β-Pinene,α-Humulene,https://rivervalleyrelief.com/flower/pineapple-fruz/,,,,,,
Pineapple Fruz,River Valley Relief,,Limonene,β-Caryophyllene,Linalool,Nerolidol,α & β-Pinene,https://rvr.care/ljNLQ,,,,River Valley Relief,,
Pineapple Express,Carpenter Farms,,Limonene,β-Caryophyllene,β-Pinene,Sabinene,Phellandrene,https://drive.google.com/file/d/1QYsCnBcRllGMS23fO2hFcUsxyiSzDXvM/view,,,,,,
Pineapple Express,Osage Creek,60-40,β-Myrcene,β-Pinene,Limonene,,,,"Daytime Use, Social Gathering, Mood Enhancement","Pineapple Express is a true delight to the senses. This fruity concoction is balanced by a grounding earthy pine undertone, creating a complex and enjoyable taste profile.","Focused, Energized, Creativity","Herbarl, Pine, Citrus",,
Pixy Drip,,80/20 I,Limonene,Linalool,β-Caryophyllene,,,,"Good for stress and depression, heavy sedation","Dive into a world of fruity delight with Pixy Drip! This strain is like a burst of flavors that'll tantalize your taste buds. Its aroma carries sweet and tangy notes, reminiscent of your favorite childhood candies. Pixy Drip brings a sense of joy and playfulness, making it the perfect choice for lighthearted moments and fun-filled adventures. So grab a bag of Pixy Drip, take a puff, and let the colorful flavors take you on a whimsical journey.","Uplifted, Happy, Energetic, Creative, Focused","Fruity, Sweet, Berry, Tropical","Sweet, Berry, Fruity, Citrusy",Platinum Purple Candy x Slurricane #3
Planet of the Grapes,Carpenter Farms,,β-Myrcene,Sabinene,β-Caryophyllene,Phellandrene & α-Terpinene,cis-β-Ocimene,https://drive.google.com/file/d/1hwnfydnHcoQ9HU-zeoR4qt_gFNdeo60a/view,,,,,,
PLANET OF THE GRAPES,Leafology,Indica,β-Myrcene,β-Caryophyllene,Limonene,,,,"Stress, Appetite, Inflammation, Creativity",,"Sedative, Focused, Relaxing, Euphoric","Sweet Grapes, Earthy Diesel, Citrus, Herbal",,
Platinum Mystery,,50/50 H,β-Caryophyllene,Limonene,β-Myrcene,cis-β-Ocimene,,,"Mild pain, Lack of focus, Curiosity, Stress, Anxiety","Embark on a journey of intrigue with Platinum Mystery, a captivating strain that emerges from the fusion of Platinum and an enigmatic UNKNOWN STRAIN. Let the mysterious effects unfold, offering a blend of relaxation and euphoria that captivates the senses. Platinum Mystery unfolds with an alluring taste, combining the signature platinum smoothness with elusive undertones that keep you guessing, making it a unique and thrilling addition to your cannabis experience.","Intriguing and Balanced, Relaxing body high, Uplifting sensations, Stress relief, Creative stimulation","Subtle Platinum Smoothness, Mysterious Undertones","Smooth, Complex, Unique Undertones",Platinum x UNKNOWN STRAIN
Point Blank,Osage Creek,,β-Myrcene,β-Caryophyllene,Limonene,,,,,,,,,
Polar Pop,Bold,70/30 SH,,,,,,,,,,,,
Pomegranate x Big Bud x Plat. Kush Mints,,50/50 H,β-Myrcene,Limonene,β-Caryophyllene,,,,"Craving for a unique experience, Stress, Anxiety, Mild pain, Lack of focus","Immerse yourself in the essence of a unique and nameless creation, a strain born from the harmonious union of Pomegranate, Big Bud, and Platinum Kush Mints. Delight in the well-balanced effects that weave together relaxation and euphoria, creating a symphony for both mind and body. This enigmatic blend presents a flavor profile where the sweetness of pomegranate dances with the robustness of Big Bud and the minty allure of Platinum Kush, offering a multi-layered and thoroughly enjoyable cannabis experience.","Balanced and Invigorating, Relaxing body sensations, Uplifting mood, Stress relief, Creative inspiration","Sweet Pomegranate, Earthy, Mint undertones","Sweet, Robust, Hint of Mint",Pomegranate x Big Bud x Plat. Kush Mints
Porto Leche,Osage Creek,30-70,β-Myrcene,β-Caryophyllene,Limonene,,,https://sh-ar.qbench.net/pr/a9fc42bd479fdab (No Terps),"Therapeutic Use, Stress Relief, Full-body Relaxation","Porto Leche offers a distinctive aroma. Expect a fragrance that combines sweet, creamy, and fruity notes, creating an inviting and delectable scent.","Comfort, Relaxation, Tranquility","Earthy, Spice, Citrus",,
PSY-OPS,Leafology,Sativa,β-Myrcene,β-Caryophyllene,Pinene,,,,"Appetite Stimulation, Creativity, Pain, Stress",,"Relaxing Focused, Euphoric, Balanced","Earthy, Woody, Diesel, Floral",,
Pup Cup,Good Day Farms,,β-Myrcene,Limonene,Linalool,β-Caryophyllene,α-Humulene,https://app.lucidgreen.io/products/9PTfyDUFY2c3JWuH3ZJNex/tests/,,,,,,
Pura Vida,Bold,Indica Dominant Hybrid,Terpinolene,f,β-Myrcene,,,,,"A cross between LA Pure Kush and Appalachia, Pura Vida is a indica dominant hybrid described to have a nice cerebral effect with a sweet, earthy, OG profile. Bred by Bodhi seeds out of California; Pura Vida packs a punch in its tight, compact nuggets. The Appalachia male was one of Bodhi’s main males for many years and combines the popular Green Crack with Tres Dog.",,,,
Purple Milk,Bold,Hybrid,β-Caryophyllene,Limonene,Linalool,,,,,"A breeders cut from Compound Genetics, Purple Milk combines Horchata and Grape Gas to create a smooth grape-y delight that is sure to please. Purple Milk turns a dark indigo during late flower and produces large, dense colas.",,,,
Purple Pop Rocks,Osage Creek,30-70,β-Myrcene,Limonene,β-Caryophyllene,Linalool,β-Pinene,https://sh-ar.qbench.net/pr/a365e8b3a2c3b7f,"Full-Body Relaxation, Stress Relief, Therapeutic Use",Purple Pop Rocks is typically consumed in the evening or during times when relaxation and unwinding are desired.,"Comfort, Tranquility, Relaxation","Earthy, Citrus, Spice",,
Purple Sunset,Natural State Medicinals,,β-Myrcene,β-Caryophyllene,Limonene,α-Humulene,Linalool,https://bit.ly/3PZSqoH,,,,,,
Purple Sunset,,60/40 I,β-Myrcene,β-Caryophyllene,,,,,Appetite stimulation; Sleep; Stress relief,"Purple Sunset's fruity terpenes express notes of sweet, citrus, and even spice alongside floral berries. Purple Sunset offers a calming high that may help you wind down without feeling sleepy and completely lethargic.","Relaxation, Euphoria, Happiness, Uplifted, Sleepiness","Floral, Sweet, Berry, Earthy","Pepper; Citrus; Deep Smoke & Rich, Spicy aroma",Purple Punch x Sunset Sherbert
PU$$Y WAGON,Leafology,Indica,β-Myrcene,α-Pinene,Cis-β-Ocimene,,,,"Anxiety, Pain, Depression, Fatigue, & Stress",,"Aroused, Body High, Relaxing, & Tingly","Berries, Earthy Vanilla, & Tropical Citrus",,
Qookies,Osage Creek,30-70,β-Myrcene,α-Pinene,β-Caryophyllene,,,https://sh-ar.qbench.net/pr/bacce4fb0b1631f (No Terps),"Full-Body Relaxation, Stress Relief, Therapeutic Use","Qookies offers an aromatic experience that combines elements from its parent strains. Expect a delightful blend of sweet, earthy, and cookie-like scents that are characteristic of GSC.","Comfort, Tranquility, Relaxation","Earthy, Sweet, Spice",,
Queen Mother Goji,Bold,Indica Dominant Hybrid,β-Caryophyllene,α-Humulene,Limonene,,,,,"A selected Goji OG phenotype by Bodhi Seeds of California. Queen Mother OG combines one of Bodhi’s males with an interesting indica selection hand sourced by Bodhi while on an excursion to Nepal. Released to select dispensaries in California, the three selected Gojis made their way to Colorado and on to Arkansas.",,,,
Rainbow Belts,GDF,Indica,β-Caryophyllene,Limonene,β-Myrcene,Linalool,α-Humulene,https://qr.lcdg.io/K8n6WFMh4XqZKysgXrsE,,,,,,
Rainbow Cake,Natural State Medicinals,,β-Myrcene,β-Caryophyllene,Limonene,Linalool,α-Humulene,https://bit.ly/4hwjbx2,,,,,,
Rainbow Cake,,50/50 H,Linalool,β-Caryophyllene,Limonene,,,,"Relaxing, Calming, Soothing;Pain relief, Limonene: Uplifting, Anti-anxiety","Enter the enchanting world of Rainbow Cake, a delightful 50/50 hybrid crafted from the union of Wedding Cake and Rainbow Belts. Indulge in the harmonious effects that offer a perfect equilibrium between uplifting euphoria and soothing relaxation. Rainbow Cake invites your palate on a journey with a fusion of sweet vanilla undertones from Wedding Cake and the fruity vibrancy of Rainbow Belts, creating a cannabis experience that's both blissful and flavorful.","Uplifting and Relaxing, Balanced hybrid effects, Stress relief, Creative inspiration, Mood enhancement","Sweet Vanilla, Fruity, Subtle Undertones","Sweet, Vanilla, Fruity finish",Wedding Cake x Rainbow Belts
Rainmaker,Bold,Indica Dominant Hybrid,β-Myrcene,Limonene,Linalool,,,,,"Rainmaker from Ethos Genetics has quickly become a patient favorite in Colorado and is now available in Arkansas. This Citral Skunk and Mandarin Sunset cross packs a delicious skunky, funky nose with a tight and frosty bud structure. The taste is better experienced then described.",,,,
Red Velvet,RVR,Hybrid,Limonene,β-Caryophyllene,Linalool,β-Myrcene,α-Humulene,https://rivervalleyrelief.com/flower/red-velvet/,"Depression, Chronic Stress, Anxiety, Mood Swings, Chronic Pain, and Chronic Fatigue",This indica dominant hybrid is a cross of Lemon Cherry Gelato and Pina Acai from Grandiflora genetics. Although it is a indica leaning hybrid we like to call it our sativa lovers indica due to its terpene profile giving you sativa like effects.,"Mind Stimulating, Creative, Happy, Relaxed and Soothing.",Creamy and Sweet,,
THE REFRESHER,Leafology,Sativa,Limonene,β-Myrcene,β-Caryophyllene,,,,"Stress, Anxiety, Mild Pain, Depression, Creativity",,"Euphoric, Relaxing, Energetic, Creative","Citrus, Strawberry Cream, Herbal",,
Revlato 41,Revolution Cannabis,,β-Caryophyllene,Limonene,α-Humulene,Linalool,β-Myrcene,https://fastlabs.qbench.net/pr/109b5e42dcc8b96,,,,,,
ROAD HEAD,Leafology,Hybrid,β-Myrcene,β-Caryophyllene,Limonene,,,,"Social Settings, Creativity, Pain, Stress",,"Euphoric, Relaxing, Focused, Energetic","Fruity, Earthy, Herbal, Diesel Funk",,
RONDA ROUSEY,Leafology,Hybrid,β-Myrcene,β-Caryophyllene,Limonene,,,,"Depression, Sedative, Relaxing, Social Settings, Insomnia",,"Sedative, Balanced, Creative, Relaxing","Sweet Vanilla, Earthy, Herbal, Creamy",,
Royal Wedding,Revolution Cannabis,,Limonene,β-Myrcene,β-Caryophyllene,Linalool,β-Pinene,https://fastlabs.qbench.net/pr/fcc8d6f956a59c6,,,,,,
Royal Wedding,Revolution,,Limonene,β-Myrcene,β-Caryophyllene,Linalool,β-Pinene,https://fastlabs.qbench.net/pr/0932876c6978c59,,,,,,
Runtz,RVR,Hybrid,β-Myrcene,Linalool,Limonene,β-Caryophyllene,α-Humulene,https://rvr.care/RTZCF,"Stress, Anxiety, Depression","Runtz is a rare hybrid strain loved for its fruity flavor and aroma. Created by crossing Zkittlez with Gelato, the resin-caked buds range in color from lime green to deep dark purple. ","Euphoric, Happy, Talkative, and Relaxed.",Fruity,,
Runtz Muffin,Bold,Indica Dominant Hybrid,β-Caryophyllene,Limonene,α-Humulene,,,,,"Runtz Muffin was bred by Barney’s Farm to be a conglomeration of all the hype genetics of the moment, and it delivers. Runtz Muffin packs a fantastic nose with fruit punch, citrus, and sweet candy up front and a piney loam back end that will keep you coming back for more. Expect tight “cookie” like buds and great colors throughout the herb.",,,,
Sara's Stash,,50/50 H,β-Myrcene,β-Caryophyllene,Pinene,,,,"May offer relief for those experiencing stress, anxiety, mild pain, or mood imbalances. With its balanced effects, Sara's Stash is often sought by those looking for mental clarity and relaxation without heavy sedation, making it a versatile option for both daytime and evening use.","Uncover the hidden gem of Sara’s Stash—a unique strain with vibrant buds that blend lush green with hints of purple, covered in shimmering trichomes. With an enticing aroma of sweet berries, earthy undertones, and a hint of pine, this strain delivers a smooth, flavorful experience. Sara’s Stash strikes the perfect balance with its uplifting cerebral high and a warm, relaxing body buzz, making it a versatile choice for any time of day. Ideal for easing stress and lifting spirits, this one-of-a-kind strain is sure to become a favorite in your collection.","An uplifting cerebral high accompanied by a relaxing body buzz, making it suitable for both daytime and evening use.","This strain offers a complex aroma profile, combining sweet berry notes with earthy undertones and a hint of pine, creating an enticing scent.","Sara's Stash delivers a harmonious blend of sweet berries and earthy pine, complemented by subtle diesel undertones, providing a rich and satisfying taste experience.",Notorius THC x Notorius THC
Say Less,Osage Creek,50-50,Limonene,cis-β-Ocimene,β-Caryophyllene,,,,"Mood Enhancement, Pain Management, Therapeutic Use","This strain’s flavor profile delivers a mix of fruity and earthy notes with hints of sweetness, complemented by its aromatic undertones.","Focused, Happy, Relaxation","Citrus, Woody, Spice",,
SCARLETT JOHANSSON,Leafology,Indica,β-Myrcene,β-Caryophyllene,Limonene,,,,"Stress, Pain, Insomnia, Appetite Stimulation",,"Euphoric, Relaxing, Sedative, Tingly","Sweet Berries, Earth, Sugary Vanilla",,
Scotts OG,Osage Creek,30-70,Limonene,β-Caryophyllene,β-Myrcene,α-Humulene,α-Bisabolol,https://sh-ar.qbench.net/pr/b9d62ee51dd16ca,"Full-Body Relaxation, Evening Relaxation, Stress Relief","The buds of Scott's OG are notably covered in a thick blanket of crystal trichomes, resembling a fur coat. This dense covering not only adds to its aesthetic appeal but also signifies the strain's potent effects. True to its OG roots, Scott's OG delivers a classic, full-bodied high that is both satisfying and profound.","Uplifted, Happy, Relaxed","Citrus, Spice, Earthy",,
Schmuckerz,Osage Creek,50-50,β-Myrcene,β-Caryophyllene,α-Humulene,,,https://sh-ar.qbench.net/pr/71cd218cfbe7a0e (No Terps),"Social Gatherings, Mental Clarity, Stress Relief","Schmuckerz offers an enticing aroma that is a delightful blend of scents. You can expect a combination of aromas that could include earthy, fruity, and spicy notes","Uplifted, Happy, Balanced","Fruity, Spice, Earthy",,
Secret Agent,Osage Creek,30-70,cis-β-Ocimene,β-Caryophyllene,β-Myrcene,Limonene,α-Pinene,https://sh-ar.qbench.net/pr/8ee908b12f49bc9,"Full-Body Relaxation, Therapeutic Use, Stress Relief","Secret Agent’ s effects are creamy and heavily sedating, making it ideal for relaxation after a long day.","Balanaced, Happy, Relaxed","Sweet, Spice, Earthy",,
Shotgun Wedding,Natural State Medicinals,,β-Caryophyllene,Limonene,β-Myrcene,α-Humulene,α-Bisabolol,https://drive.google.com/file/d/1-pJ2ty_3fqF7zcMOUl4UhRhl7V_uQCpc/view,,,,,,
Shogun Wedding (Any Number),,80/20 I,β-Caryophyllene,Limonene,β-Myrcene,,,,"Anxiety, Depression, Insomnia, Nausea","Oops, It's Twins! Although they look a little different, we're excited to introduce Shotgun Wedding #2! Much like it's syboling, you can expect relaxionation with every puff! ","Relaxation, Euphoria, Happiness, Sleepiness, Uplifted"," Floral, Sweet, Earthy, Spicy"," Sweet, Floral, Earthy, Spicy",(Grease Monkey x Florida Wedding) x (Triangle Kush x Wedding Cake)
Shogun Wedding #1,,80/20 I,β-Caryophyllene,Limonene,β-Myrcene,,,,"Anxiety, Depression, Insomnia, Nausea","Get ready for an unforgettable celebration with Shotgun Wedding! This strain is like a party in a puff, where happiness and relaxation join forces. Its aroma is a delightful fusion of floral and earthy tones, setting the stage for a memorable experience. Shotgun Wedding brings a sense of bliss and togetherness, making it the perfect choice for social gatherings or intimate moments. So raise your glass, take a hit, and let Shotgun Wedding be the highlight of your festivities.","Relaxation, Euphoria, Happiness, Sleepiness, Uplifted","Floral, Sweet, Earthy, Spicy","Sweet, Floral, Earthy, Spicy",(Grease Monkey x Florida Wedding) x (Triangle Kush x Wedding Cake)
Shogun Wedding #2,,80/20 I,β-Caryophyllene,Limonene,β-Myrcene,,,,"Anxiety, Depression, Insomnia, Nausea","Oops, It's Twins! Although they look a little different, we're excited to introduce Shotgun Wedding #2! Much like it's sibling, you can expect relaxation with every puff!","Relaxation, Euphoria, Happiness, Sleepiness, Uplifted","Floral, Sweet, Earthy, Spicy","Sweet, Floral, Earthy, Spicy",(Grease Monkey x Florida Wedding) x (Triangle Kush x Wedding Cake)
SINGAPORE SLING,Leafology,Sativa,β-Myrcene,β-Caryophyllene,Limonene,,,,"Stress, Anxiety, Depression, Social Gatherings",,"Euphoric, Relaxing, Creative, Mellow","Citrus Zest, Sweet Blueberry, Earthy",,
SKUNK HERO RBX1,Leafology,Sativa,Limonene,Pinene,β-Caryophyllene,,,,"Anxiety, Stress, Pain, Depression, Creativity",,"Euphoric, Relaxing, Focused, Creative","Skunky, Pungent, Citrus, Earthy, Herbal",,
Skunk Shocker,Natural State Medicinals,,β-Myrcene,β-Caryophyllene,Limonene,Linalool,α-Humulene,https://drive.google.com/file/d/16tj_1uoVQcnuBDEFap6DolCG4old17r-/view,,,,,,
Skunk Shocker,,50/50 H,β-Caryophyllene,Limonene,β-Myrcene,,,,Appetite stimulation; Creativity; Stress relief,"Get ready for a wild ride with Skunk Shocker! This strain is like a burst of energy that'll make you jump for joy. Its zesty scent and vibrant green buds will catch your attention right away. With Skunk Shocker, you'll feel a jolt of excitement and an urge to let loose and have fun. It's the perfect choice for those seeking an uplifting and electrifying experience!","Uplifted, Energetic, Happy, Creative, Focused","Skunky, Pungent, Earthy, Herbal",Zesty Lemon; Pepper; Hops; Earthy,Lemon Skunk x Three in the Pink
Sloppy Topper,Natural State Medicinals,,Limonene,β-Caryophyllene,Linalool,α-Humulene,cis-β-Ocimene,https://drive.google.com/file/d/1Edajo30t6BfoHJPg9od_Zf-6f2JQ1N7N/view,,,,,,
Sloppy Topper,,60/40 H,Limonene,β-Caryophyllene,α-Humulene,Linalool,,,"Uplifting, Mood enhancement; Anti-inflammatory, α-Humulene: Appetite suppression, Anti-inflammatory; Relaxing, Stress relief","Embark on a whimsical journey with Sloppy Topper, a mischievous hybrid born from the playful union of Raunchy Runtz and Gary Poppins. Delight in the uplifting and energizing effects that dance on the edge of relaxation, creating a perfect equilibrium for both mind and body. Sloppy Topper seduces the senses with a sweet and citrusy aroma, reminiscent of a carefree day in a candy store, making it a delightful choice for those seeking a playful and enjoyable cannabis experience.","Sweet, Citrusy, Subtle Floral notes","Uplifting and Energizing, Relaxing body sensations, Mild mood enhancement, Stress relief, Creative inspiration","Citrusy, Sweet, Earthy undertones",Raunchy Runtz x Gary Poppins
Slurri Casher,River Valley Relief,,Limonene,Linalool,β-Caryophyllene,β-Pinene,α-Humulene,https://rivervalleyrelief.com/flower/slurri-crasher/,,,,,,
Slurricane,,50/50 H,β-Caryophyllene,β-Myrcene,Limonene,,,,"May assist in alleviating symptoms of anxiety, insomnia, and stress, offering both mental and physical relief.","Discover the exceptional Slurricane, a hybrid strain that masterfully balances euphoria and relaxation. Its dense, frosty buds exude a captivating berry and grape aroma, while the flavor delights with a fusion of sweet berries and spicy tropical fruits. Ideal for those seeking a versatile experience, Slurricane offers potential relief from stress and anxiety, making it a must-try for cannabis connoisseurs.","Deeply relaxing body high (thanks to high CBD content) accompanied by a euphoric cerebral uplift, making it ideal for unwinding after a long day.","A sweet, fruity aroma reminiscent of berries and grapes, complemented by subtle earthy undertones.","A rich blend of sweet berries and spicy tropical fruits, providing a complex and satisfying taste experience.",Dosidos x Purple Punch
S'mores,Bold,Indica Hybrid,β-Caryophyllene,β-Myrcene,α-Humulene,,,,,S’mores is another exotic from California that has made its way into the BOLD genetic stable. This genetic is an interesting cross of the venerable Stardawg with a closely held California cultivar named Pink Panther. This hybrid genetic is bred by Virgin Seeds and is a great choice for patients who want a flavorful hybrid with interesting fruit and earth flavors.,,,,
Sneaky Frost,GDF,,β-Myrcene,Limonene,Linalool,β-Caryophyllene,α-Humulene,https://qr.lcdg.io/9dqqR293kNKUssbUbDzW,,,,,,
Soleil Couchant (June '23),,50/50 H,Limonene,β-Caryophyllene,,,,,,"New from a small batch grower, Soleil Couchant is the first of NSMs new French strains. Translated to The Setting Sun, this strain will help you relax in the evening or unwind after a long work day. As a new strain, we love to hear your experience so be sure to stop by our Customer Feedback Form and let us know. http://q-r.to/NSMCustomerFeedback",,,,2011 TAHOE X OX X ROZAY)
